Boys Participation,Boys School,Sheet Swap,Girls Participation,Girls School,Sport,State,Year
0,0,Boys,0,0,Adapted Track,AK,2018/2019
0,0,Boys,0,0,Adapted Volleyball,AK,2018/2019
0,0,Boys,0,0,Adaptive Corn Toss,AK,2018/2019
0,0,Boys,0,0,Adaptive Golf,AK,2018/2019
0,0,Boys,0,0,Adaptive Handball,AK,2018/2019
0,0,Boys,0,0,Adaptive Strength Training,AK,2018/2019
0,0,Boys,0,0,Adaptive Tennis,AK,2018/2019
0,0,Boys,0,0,Air Riflery,AK,2018/2019
0,0,Boys,0,0,Archery,AK,2018/2019
0,0,Boys,0,0,Badminton,AK,2018/2019
717,25,Boys,16,2,Baseball,AK,2018/2019
1920,120,Boys,1513,113,Basketball,AK,2018/2019
0,0,Boys,0,0,Bass Fishing,AK,2018/2019
0,0,Boys,0,0,Beach Volleyball,AK,2018/2019
0,0,Boys,0,0,Bocce - Outdoor,AK,2018/2019
110,8,Boys,110,8,Bowling,AK,2018/2019
6,0,Boys,154,32,Canoe Paddling,AK,2018/2019
25,10,Boys,209,18,Cheerleading,AK,2018/2019
0,0,Boys,0,0,Crew,AK,2018/2019
1003,83,Boys,791,80,Cross Country,AK,2018/2019
0,0,Boys,0,0,Cycling,AK,2018/2019
0,0,Boys,0,0,Dance,AK,2018/2019
2,2,Boys,3,2,Dance/Drill,AK,2018/2019
0,0,Boys,0,0,"Dance Team, High Kick",AK,2018/2019
0,0,Boys,50,3,"Dance Team, Jazz",AK,2018/2019
0,0,Boys,0,0,Decathlon,AK,2018/2019
0,0,Boys,0,0,Drill Team,AK,2018/2019
0,0,Boys,0,0,Equestrian,AK,2018/2019
0,0,Boys,0,0,Fencing,AK,2018/2019
0,0,Boys,0,0,Field Hockey,AK,2018/2019
0,0,Boys,0,0,Figure Skating,AK,2018/2019
0,0,Boys,475,13,Flag Football,AK,2018/2019
1564,30,Boys,52,10,Football,AK,2018/2019
0,0,Boys,0,0,Football -- 6-player,AK,2018/2019
0,0,Boys,0,0,Football -- 8-player,AK,2018/2019
0,0,Boys,0,0,Football -- 9-player,AK,2018/2019
0,0,Boys,0,0,Golf,AK,2018/2019
0,0,Boys,103,9,Gymnastics,AK,2018/2019
0,0,Boys,0,0,Heptathlon,AK,2018/2019
614,24,Boys,40,12,Ice Hockey,AK,2018/2019
0,0,Boys,0,0,Judo,AK,2018/2019
0,0,Boys,0,0,Kayaking,AK,2018/2019
0,0,Boys,0,0,Lacrosse,AK,2018/2019
0,0,Boys,0,0,Martial Arts,AK,2018/2019
327,62,Boys,600,62,Mixed 6-Coed Volleyball,AK,2018/2019
0,0,Boys,0,0,Mt. Biking,AK,2018/2019
0,0,Boys,0,0,Native Youth Olympics,AK,2018/2019
140,12,Boys,56,8,Riflery,AK,2018/2019
0,0,Boys,0,0,Rock Climbing,AK,2018/2019
0,0,Boys,0,0,Rodeo,AK,2018/2019
0,0,Boys,0,0,Roller Hockey,AK,2018/2019
0,0,Boys,0,0,Rugby,AK,2018/2019
0,0,Boys,0,0,Rythmic Gymnastics,AK,2018/2019
0,0,Boys,0,0,Sailing,AK,2018/2019
0,0,Boys,0,0,Sand Volleyball,AK,2018/2019
0,0,Boys,0,0,Skiing -- Alpine,AK,2018/2019
582,20,Boys,324,18,Skiing -- Cross Country,AK,2018/2019
0,0,Boys,0,0,Snowboarding,AK,2018/2019
929,40,Boys,960,37,Soccer,AK,2018/2019
2,1,Boys,767,28,Softball,AK,2018/2019
0,0,Boys,0,0,Softball -- Slow Pitch,AK,2018/2019
0,0,Boys,0,0,Soft Tennis,AK,2018/2019
0,0,Boys,0,0,Squash,AK,2018/2019
0,0,Boys,0,0,Surfing,AK,2018/2019
398,30,Boys,466,31,Swimming & Diving,AK,2018/2019
0,0,Boys,0,0,Synchronized Swimming,AK,2018/2019
0,0,Boys,0,0,Team Tennis,AK,2018/2019
205,19,Boys,225,19,Tennis,AK,2018/2019
0,0,Boys,0,0,Track and Field -- Indoor,AK,2018/2019
1225,48,Boys,961,45,Track and Field,AK,2018/2019
0,0,Boys,0,0,Trap Shooting,AK,2018/2019
0,0,Boys,0,0,Ultimate Frisbee,AK,2018/2019
0,0,Boys,0,0,Unified Flag Football,AK,2018/2019
0,0,Boys,0,0,Unified Track and Field -- Outdoor,AK,2018/2019
327,68,Boys,1907,106,Volleyball,AK,2018/2019
0,0,Boys,0,0,Water Polo,AK,2018/2019
0,0,Boys,0,0,Weight Lifting,AK,2018/2019
1249,98,Boys,347,69,Wrestling,AK,2018/2019
0,0,Boys,0,0,Adapted Basketball,AZ,2018/2019
0,0,Boys,0,0,Adapted Bocce - Indoor,AZ,2018/2019
0,0,Boys,0,0,Adapted Bowling,AZ,2018/2019
0,0,Boys,0,0,Adapted Floor Hockey,AZ,2018/2019
0,0,Boys,0,0,Adapted Football,AZ,2018/2019
0,0,Boys,0,0,Adapted Soccer,AZ,2018/2019
0,0,Boys,0,0,Adapted Softball,AZ,2018/2019
0,0,Boys,0,0,Adapted Track,AZ,2018/2019
0,0,Boys,0,0,Adapted Volleyball,AZ,2018/2019
0,0,Boys,0,0,Adaptive Corn Toss,AZ,2018/2019
0,0,Boys,0,0,Adaptive Golf,AZ,2018/2019
0,0,Boys,0,0,Adaptive Handball,AZ,2018/2019
0,0,Boys,0,0,Adaptive Strength Training,AZ,2018/2019
0,0,Boys,0,0,Adaptive Tennis,AZ,2018/2019
0,0,Boys,0,0,Air Riflery,AZ,2018/2019
0,0,Boys,0,0,Archery,AZ,2018/2019
0,0,Boys,1412,71,Badminton,AZ,2018/2019
7509,240,Boys,18,11,Baseball,AZ,2018/2019
8219,260,Boys,6322,259,Basketball,AZ,2018/2019
0,0,Boys,0,0,Bass Fishing,AZ,2018/2019
0,0,Boys,0,0,Beach Volleyball,AZ,2018/2019
0,0,Boys,0,0,Bocce - Outdoor,AZ,2018/2019
0,0,Boys,0,0,Bowling,AZ,2018/2019
0,0,Boys,0,0,Canoe Paddling,AZ,2018/2019
322,94,Boys,6098,212,Cheerleading,AZ,2018/2019
0,0,Boys,0,0,Crew,AZ,2018/2019
3507,237,Boys,2687,236,Cross Country,AZ,2018/2019
0,0,Boys,0,0,Cycling,AZ,2018/2019
0,0,Boys,0,0,Dance,AZ,2018/2019
0,0,Boys,0,0,Dance/Drill,AZ,2018/2019
0,0,Boys,0,0,"Dance Team, High Kick",AZ,2018/2019
0,0,Boys,0,0,"Dance Team, Jazz",AZ,2018/2019
0,0,Boys,0,0,Decathlon,AZ,2018/2019
0,0,Boys,0,0,Drill Team,AZ,2018/2019
0,0,Boys,0,0,Equestrian,AZ,2018/2019
0,0,Boys,0,0,Fencing,AZ,2018/2019
0,0,Boys,0,0,Field Hockey,AZ,2018/2019
0,0,Boys,0,0,Figure Skating,AZ,2018/2019
0,0,Boys,0,0,Flag Football,AZ,2018/2019
16498,209,Boys,79,47,Football,AZ,2018/2019
0,0,Boys,0,0,Football -- 6-player,AZ,2018/2019
1974,25,Boys,9,6,Football -- 8-player,AZ,2018/2019
0,0,Boys,0,0,Football -- 9-player,AZ,2018/2019
1634,195,Boys,988,116,Golf,AZ,2018/2019
0,0,Boys,0,0,Gymnastics,AZ,2018/2019
0,0,Boys,0,0,Heptathlon,AZ,2018/2019
0,0,Boys,0,0,Ice Hockey,AZ,2018/2019
0,0,Boys,0,0,Judo,AZ,2018/2019
0,0,Boys,0,0,Kayaking,AZ,2018/2019
0,0,Boys,0,0,Lacrosse,AZ,2018/2019
0,0,Boys,0,0,Martial Arts,AZ,2018/2019
0,0,Boys,0,0,Mixed 6-Coed Volleyball,AZ,2018/2019
0,0,Boys,0,0,Mt. Biking,AZ,2018/2019
0,0,Boys,0,0,Native Youth Olympics,AZ,2018/2019
0,0,Boys,0,0,Riflery,AZ,2018/2019
0,0,Boys,0,0,Rock Climbing,AZ,2018/2019
0,0,Boys,0,0,Rodeo,AZ,2018/2019
0,0,Boys,0,0,Roller Hockey,AZ,2018/2019
0,0,Boys,0,0,Rugby,AZ,2018/2019
0,0,Boys,0,0,Rythmic Gymnastics,AZ,2018/2019
0,0,Boys,0,0,Sailing,AZ,2018/2019
0,0,Boys,951,65,Sand Volleyball,AZ,2018/2019
0,0,Boys,0,0,Skiing -- Alpine,AZ,2018/2019
0,0,Boys,0,0,Skiing -- Cross Country,AZ,2018/2019
0,0,Boys,0,0,Snowboarding,AZ,2018/2019
7848,212,Boys,6489,190,Soccer,AZ,2018/2019
0,0,Boys,6690,240,Softball,AZ,2018/2019
0,0,Boys,0,0,Softball -- Slow Pitch,AZ,2018/2019
0,0,Boys,0,0,Soft Tennis,AZ,2018/2019
0,0,Boys,0,0,Squash,AZ,2018/2019
0,0,Boys,0,0,Surfing,AZ,2018/2019
2641,156,Boys,3232,157,Swimming & Diving,AZ,2018/2019
0,0,Boys,0,0,Synchronized Swimming,AZ,2018/2019
0,0,Boys,0,0,Team Tennis,AZ,2018/2019
2131,174,Boys,2672,179,Tennis,AZ,2018/2019
0,0,Boys,0,0,Track and Field -- Indoor,AZ,2018/2019
8984,243,Boys,6530,244,Track and Field,AZ,2018/2019
0,0,Boys,0,0,Trap Shooting,AZ,2018/2019
0,0,Boys,0,0,Ultimate Frisbee,AZ,2018/2019
0,0,Boys,0,0,Unified Basketball,AZ,2018/2019
0,0,Boys,0,0,Unified Flag Football,AZ,2018/2019
0,0,Boys,0,0,Unified Track and Field -- Outdoor,AZ,2018/2019
2359,95,Boys,8159,262,Volleyball,AZ,2018/2019
0,0,Boys,0,0,Water Polo,AZ,2018/2019
0,0,Boys,0,0,Weight Lifting,AZ,2018/2019
4894,202,Boys,481,136,Wrestling,AZ,2018/2019
135,14,Boys,59,10,Adapted Basketball,AR,2018/2019
0,0,Boys,0,0,Adapted Bocce - Indoor,AR,2018/2019
42,6,Boys,33,6,Adapted Bowling,AR,2018/2019
0,0,Boys,0,0,Adapted Floor Hockey,AR,2018/2019
13,2,Boys,54,4,Adapted Soccer,AR,2018/2019
0,0,Boys,0,0,Adapted Softball,AR,2018/2019
0,0,Boys,0,0,Adapted Track,AR,2018/2019
0,0,Boys,0,0,Adapted Volleyball,AR,2018/2019
0,0,Boys,0,0,Adaptive Corn Toss,AR,2018/2019
0,0,Boys,0,0,Adaptive Golf,AR,2018/2019
0,0,Boys,0,0,Adaptive Handball,AR,2018/2019
0,0,Boys,0,0,Adaptive Strength Training,AR,2018/2019
0,0,Boys,0,0,Adaptive Tennis,AR,2018/2019
16,4,Boys,14,3,Air Riflery,AR,2018/2019
539,61,Boys,475,56,Archery,AR,2018/2019
0,0,Boys,0,0,Badminton,AR,2018/2019
5489,261,Boys,10,2,Baseball,AR,2018/2019
5144,286,Boys,4000,274,Basketball,AR,2018/2019
0,0,Boys,0,0,Bass Fishing,AR,2018/2019
0,0,Boys,0,0,Beach Volleyball,AR,2018/2019
0,0,Boys,0,0,Bocce - Outdoor,AR,2018/2019
732,69,Boys,655,70,Bowling,AR,2018/2019
0,0,Boys,0,0,Canoe Paddling,AR,2018/2019
77,35,Boys,1846,106,Cheerleading,AR,2018/2019
0,0,Boys,0,0,Crew,AR,2018/2019
1862,171,Boys,1506,173,Cross Country,AR,2018/2019
0,0,Boys,0,0,Cycling,AR,2018/2019
14,7,Boys,741,42,Dance,AR,2018/2019
0,0,Boys,0,0,Dance/Drill,AR,2018/2019
0,0,Boys,0,0,"Dance Team, High Kick",AR,2018/2019
0,0,Boys,0,0,"Dance Team, Jazz",AR,2018/2019
85,33,Boys,17,4,Decathlon,AR,2018/2019
0,0,Boys,0,0,Drill Team,AR,2018/2019
0,0,Boys,0,0,Equestrian,AR,2018/2019
0,0,Boys,0,0,Fencing,AR,2018/2019
0,0,Boys,0,0,Field Hockey,AR,2018/2019
0,0,Boys,0,0,Figure Skating,AR,2018/2019
0,0,Boys,0,0,Flag Football,AR,2018/2019
10255,201,Boys,7,7,Football,AR,2018/2019
0,0,Boys,0,0,Football -- 6-player,AR,2018/2019
119,5,Boys,1,1,Football -- 8-player,AR,2018/2019
0,0,Boys,0,0,Football -- 9-player,AR,2018/2019
1211,214,Boys,697,177,Golf,AR,2018/2019
0,0,Boys,25,3,Gymnastics,AR,2018/2019
3,2,Boys,53,26,Heptathlon,AR,2018/2019
0,0,Boys,0,0,Ice Hockey,AR,2018/2019
0,0,Boys,0,0,Judo,AR,2018/2019
0,0,Boys,0,0,Kayaking,AR,2018/2019
100,5,Boys,50,4,Lacrosse,AR,2018/2019
0,0,Boys,0,0,Martial Arts,AR,2018/2019
0,0,Boys,0,0,Mixed 6-Coed Volleyball,AR,2018/2019
0,0,Boys,0,0,Mt. Biking,AR,2018/2019
0,0,Boys,0,0,Native Youth Olympics,AR,2018/2019
16,4,Boys,14,3,Riflery,AR,2018/2019
0,0,Boys,0,0,Rock Climbing,AR,2018/2019
55,4,Boys,24,6,Rodeo,AR,2018/2019
0,0,Boys,0,0,Roller Hockey,AR,2018/2019
0,0,Boys,0,0,Rugby,AR,2018/2019
0,0,Boys,0,0,Rythmic Gymnastics,AR,2018/2019
0,0,Boys,0,0,Sailing,AR,2018/2019
0,0,Boys,0,0,Sand Volleyball,AR,2018/2019
0,0,Boys,0,0,Skiing -- Alpine,AR,2018/2019
0,0,Boys,0,0,Skiing -- Cross Country,AR,2018/2019
0,0,Boys,0,0,Snowboarding,AR,2018/2019
3038,107,Boys,2461,103,Soccer,AR,2018/2019
0,0,Boys,4392,249,Softball,AR,2018/2019
0,0,Boys,0,0,Softball -- Slow Pitch,AR,2018/2019
0,0,Boys,0,0,Soft Tennis,AR,2018/2019
0,0,Boys,0,0,Squash,AR,2018/2019
0,0,Boys,0,0,Surfing,AR,2018/2019
532,56,Boys,572,56,Swimming & Diving,AR,2018/2019
0,0,Boys,0,0,Synchronized Swimming,AR,2018/2019
0,0,Boys,0,0,Team Tennis,AR,2018/2019
946,121,Boys,1062,120,Tennis,AR,2018/2019
1151,63,Boys,808,57,Track and Field -- Indoor,AR,2018/2019
8363,238,Boys,3361,233,Track and Field,AR,2018/2019
1330,93,Boys,328,77,Trap Shooting,AR,2018/2019
0,0,Boys,0,0,Ultimate Frisbee,AR,2018/2019
0,0,Boys,0,0,Unified Flag Football,AR,2018/2019
34,2,Boys,54,3,Unified Track and Field -- Outdoor,AR,2018/2019
0,0,Boys,2923,141,Volleyball,AR,2018/2019
0,0,Boys,0,0,Water Polo,AR,2018/2019
538,30,Boys,0,0,Weight Lifting,AR,2018/2019
1137,52,Boys,54,23,Wrestling,AR,2018/2019
0,0,Boys,0,0,Adapted Basketball,CA,2018/2019
0,0,Boys,0,0,Adapted Bocce - Indoor,CA,2018/2019
0,0,Boys,2,1,Adapted Bowling,CA,2018/2019
0,0,Boys,0,0,Adapted Floor Hockey,CA,2018/2019
0,0,Boys,0,0,Adapted Football,CA,2018/2019
70,4,Boys,40,3,Adapted Soccer,CA,2018/2019
30,1,Boys,10,1,Adapted Softball,CA,2018/2019
102,11,Boys,30,10,Adapted Track,CA,2018/2019
0,0,Boys,0,0,Adapted Volleyball,CA,2018/2019
0,0,Boys,0,0,Adaptive Corn Toss,CA,2018/2019
0,0,Boys,0,0,Adaptive Golf,CA,2018/2019
0,0,Boys,0,0,Adaptive Handball,CA,2018/2019
0,0,Boys,0,0,Adaptive Strength Training,CA,2018/2019
0,0,Boys,0,0,Adaptive Tennis,CA,2018/2019
0,0,Boys,0,0,Air Riflery,CA,2018/2019
135,9,Boys,144,8,Archery,CA,2018/2019
3830,196,Boys,5026,228,Badminton,CA,2018/2019
44347,1294,Boys,418,79,Baseball,CA,2018/2019
48111,1515,Boys,35902,1464,Basketball,CA,2018/2019
0,0,Boys,0,0,Bass Fishing,CA,2018/2019
0,0,Boys,0,0,Beach Volleyball,CA,2018/2019
0,0,Boys,0,0,Bocce - Outdoor,CA,2018/2019
17,2,Boys,8,2,Bowling,CA,2018/2019
0,0,Boys,0,0,Canoe Paddling,CA,2018/2019
880,259,Boys,15705,628,Cheerleading,CA,2018/2019
167,3,Boys,240,5,Crew,CA,2018/2019
31880,1354,Boys,24208,1336,Cross Country,CA,2018/2019
0,0,Boys,0,0,Cycling,CA,2018/2019
0,0,Boys,0,0,Dance,CA,2018/2019
0,0,Boys,0,0,Dance/Drill,CA,2018/2019
0,0,Boys,0,0,"Dance Team, High Kick",CA,2018/2019
0,0,Boys,0,0,"Dance Team, Jazz",CA,2018/2019
178,17,Boys,149,15,Decathlon,CA,2018/2019
0,0,Boys,0,0,Drill Team,CA,2018/2019
19,2,Boys,309,35,Equestrian,CA,2018/2019
149,13,Boys,97,13,Fencing,CA,2018/2019
150,4,Boys,4058,115,Field Hockey,CA,2018/2019
0,0,Boys,0,0,Figure Skating,CA,2018/2019
406,25,Boys,660,30,Flag Football,CA,2018/2019
91305,1069,Boys,593,270,Football,CA,2018/2019
1,7,Boys,16,1,Football -- 6-player,CA,2018/2019
2068,105,Boys,17,9,Football -- 8-player,CA,2018/2019
0,0,Boys,0,0,Football -- 9-player,CA,2018/2019
11023,1015,Boys,8862,930,Golf,CA,2018/2019
5,3,Boys,772,54,Gymnastics,CA,2018/2019
0,0,Boys,0,0,Heptathlon,CA,2018/2019
495,29,Boys,29,3,Ice Hockey,CA,2018/2019
0,0,Boys,0,0,Judo,CA,2018/2019
0,0,Boys,0,0,Kayaking,CA,2018/2019
10189,273,Boys,9840,279,Lacrosse,CA,2018/2019
42,2,Boys,42,2,Martial Arts,CA,2018/2019
0,0,Boys,0,0,Mixed 6-Coed Volleyball,CA,2018/2019
308,27,Boys,121,24,Mt. Biking,CA,2018/2019
0,0,Boys,0,0,Native Youth Olympics,CA,2018/2019
63,6,Boys,47,5,Riflery,CA,2018/2019
47,2,Boys,49,2,Rock Climbing,CA,2018/2019
35,8,Boys,49,10,Rodeo,CA,2018/2019
207,25,Boys,66,8,Roller Hockey,CA,2018/2019
896,27,Boys,264,11,Rugby,CA,2018/2019
0,0,Boys,0,0,Rythmic Gymnastics,CA,2018/2019
188,22,Boys,120,20,Sailing,CA,2018/2019
683,31,Boys,1286,64,Sand Volleyball,CA,2018/2019
221,22,Boys,150,20,Skiing -- Alpine,CA,2018/2019
43,35,Boys,35,5,Skiing -- Cross Country,CA,2018/2019
216,19,Boys,110,18,Snowboarding,CA,2018/2019
54996,1393,Boys,49342,1376,Soccer,CA,2018/2019
1712,67,Boys,32233,1442,Softball,CA,2018/2019
12,1,Boys,20,2,Softball -- Slow Pitch,CA,2018/2019
0,0,Boys,0,0,Soft Tennis,CA,2018/2019
59,5,Boys,45,4,Squash,CA,2018/2019
1034,52,Boys,462,43,Surfing,CA,2018/2019
21822,973,Boys,29576,985,Swimming & Diving,CA,2018/2019
0,0,Boys,0,0,Synchronized Swimming,CA,2018/2019
0,0,Boys,0,0,Team Tennis,CA,2018/2019
19230,980,Boys,23546,1039,Tennis,CA,2018/2019
0,0,Boys,0,0,Track and Field -- Indoor,CA,2018/2019
55335,1261,Boys,45235,1270,Track and Field,CA,2018/2019
297,24,Boys,132,22,Trap Shooting,CA,2018/2019
91,6,Boys,48,4,Ultimate Frisbee,CA,2018/2019
0,0,Boys,0,0,Unified Basketball,CA,2018/2019
0,0,Boys,0,0,Unified Flag Football,CA,2018/2019
0,0,Boys,0,0,Unified Track and Field -- Outdoor,CA,2018/2019
22224,944,Boys,45997,1483,Volleyball,CA,2018/2019
17304,619,Boys,16568,626,Water Polo,CA,2018/2019
565,11,Boys,228,9,Weight Lifting,CA,2018/2019
22602,904,Boys,6014,759,Wrestling,CA,2018/2019
0,0,Boys,0,0,Adapted Basketball,CO,2018/2019
0,0,Boys,0,0,Adapted Bocce - Indoor,CO,2018/2019
0,0,Boys,0,0,Adapted Bowling,CO,2018/2019
0,0,Boys,0,0,Adapted Floor Hockey,CO,2018/2019
0,0,Boys,0,0,Adapted Football,CO,2018/2019
0,0,Boys,0,0,Adapted Soccer,CO,2018/2019
0,0,Boys,0,0,Adapted Softball,CO,2018/2019
0,0,Boys,0,0,Adapted Track,CO,2018/2019
0,0,Boys,0,0,Adapted Volleyball,CO,2018/2019
0,0,Boys,0,0,Adaptive Corn Toss,CO,2018/2019
0,0,Boys,0,0,Adaptive Golf,CO,2018/2019
0,0,Boys,0,0,Adaptive Handball,CO,2018/2019
0,0,Boys,0,0,Adaptive Strength Training,CO,2018/2019
0,0,Boys,0,0,Adaptive Tennis,CO,2018/2019
0,0,Boys,0,0,Air Riflery,CO,2018/2019
0,0,Boys,0,0,Archery,CO,2018/2019
0,0,Boys,0,0,Badminton,CO,2018/2019
7825,286,Boys,183,0,Baseball,CO,2018/2019
11723,336,Boys,9045,333,Basketball,CO,2018/2019
0,0,Boys,0,0,Bass Fishing,CO,2018/2019
0,0,Boys,0,0,Beach Volleyball,CO,2018/2019
0,0,Boys,0,0,Bocce - Outdoor,CO,2018/2019
0,0,Boys,0,0,Bowling,CO,2018/2019
0,0,Boys,0,0,Canoe Paddling,CO,2018/2019
181,69,Boys,4825,186,Cheerleading,CO,2018/2019
0,0,Boys,0,0,Crew,CO,2018/2019
4122,247,Boys,4001,245,Cross Country,CO,2018/2019
0,0,Boys,0,0,Cycling,CO,2018/2019
0,0,Boys,0,0,Dance,CO,2018/2019
0,0,Boys,0,0,Dance/Drill,CO,2018/2019
0,0,Boys,0,0,"Dance Team, High Kick",CO,2018/2019
0,0,Boys,0,0,"Dance Team, Jazz",CO,2018/2019
0,0,Boys,0,0,Decathlon,CO,2018/2019
0,0,Boys,0,0,Drill Team,CO,2018/2019
0,0,Boys,0,0,Equestrian,CO,2018/2019
0,0,Boys,0,0,Fencing,CO,2018/2019
0,0,Boys,636,15,Field Hockey,CO,2018/2019
0,0,Boys,0,0,Figure Skating,CO,2018/2019
0,0,Boys,0,0,Flag Football,CO,2018/2019
15593,222,Boys,141,0,Football,CO,2018/2019
543,37,Boys,9,0,Football -- 6-player,CO,2018/2019
751,38,Boys,8,0,Football -- 8-player,CO,2018/2019
0,0,Boys,0,0,Football -- 9-player,CO,2018/2019
2167,196,Boys,1541,177,Golf,CO,2018/2019
0,0,Boys,532,43,Gymnastics,CO,2018/2019
0,0,Boys,0,0,Heptathlon,CO,2018/2019
1042,65,Boys,22,0,Ice Hockey,CO,2018/2019
0,0,Boys,0,0,Judo,CO,2018/2019
0,0,Boys,0,0,Kayaking,CO,2018/2019
3179,113,Boys,1534,85,Lacrosse,CO,2018/2019
0,0,Boys,0,0,Martial Arts,CO,2018/2019
